Rank,Name,Team,Position,Games Played,Solo Tackles,Assist Tackles,Total Tackles,Sacks,Sack Yards,Tackles for Loss,Passes Defended,Interceptions,Interception Yards,Long Interception,Interception Touchdowns,Forced Fumbles,Fumbles Recovered,Fumble Touchdowns,Year
1,Bobby Wagner,SEA,LB,16,86,73,159,3.0,16,8,6,1,6,6,0,1,1,0,2019
2,Blake Martinez,GB,LB,16,97,58,155,3.0,20,7,2,1,22,22,0,1,0,0,2019
3,Jordan Hicks,ARI,LB,16,92,57,149,1.5,11,13,6,3,64,48,0,2,1,0,2019
4,Budda Baker,ARI,S,16,104,43,147,0.5,4,10,6,0,0,0,0,1,1,0,2019
5,Luke Kuechly,CAR,LB,16,81,63,144,0.0,0,6,12,2,26,25,0,0,0,0,2019
6,Zach Cunningham,HOU,LB,16,99,43,142,2.0,11,10,2,0,0,0,0,0,2,0,2019
6,Jaylon Smith,DAL,LB,16,83,59,142,2.5,31,8,9,1,0,0,0,2,1,0,2019
8,Todd Davis,DEN,LB,14,78,56,134,0.0,0,6,1,0,0,0,0,0,0,0,2019
8,Cory Littleton,LAR,LB,16,78,56,134,3.5,25,6,9,2,32,26,0,2,4,0,2019
10,Joe Schobert,CLE,LB,16,89,44,133,2.0,19,7,9,4,24,20,0,2,1,0,2019
11,K.J. Wright,SEA,LB,16,67,65,132,0.0,0,7,11,3,10,11,0,0,0,0,2019
12,Eric Reid,CAR,S,16,97,33,130,4.0,15,7,6,0,0,0,0,1,2,0,2019
13,De'Vondre Campbell,ATL,LB,16,75,54,129,2.0,18,8,5,2,-5,0,0,3,1,0,2019
14,Jerome Baker,MIA,LB,16,76,50,126,1.5,13,7,4,1,34,34,0,2,0,0,2019
15,Anthony Walker Jr.,IND,LB,16,84,40,124,2.5,3,8,2,1,0,0,0,1,0,0,2019
16,Lavonte David,TB,LB,16,82,41,123,1.0,14,13,7,1,26,26,0,3,1,0,2019
17,Shaquille Leonard,IND,LB,13,71,50,121,5.0,26,10,7,5,92,80,1,2,0,0,2019
18,Fred Warner,SF,LB,16,89,29,118,3.0,31,9,9,1,46,46,1,3,0,0,2019
19,Landon Collins,WSH,S,15,78,39,117,1.0,9,10,4,0,0,0,0,2,0,0,2019
20,Tremaine Edmunds,BUF,LB,16,66,49,115,1.5,11,12,9,1,0,0,0,0,0,0,2019
21,Shawn Williams,CIN,S,16,80,34,114,1.0,3,6,3,1,12,12,0,0,0,0,2019
22,Logan Ryan,TEN,S,16,73,40,113,4.5,31,7,18,4,16,16,0,4,0,0,2019
23,Thomas Davis Sr.,LAC,LB,16,65,47,112,1.0,5,4,2,0,0,0,0,0,0,0,2019
24,Demario Davis,NO,LB,16,87,24,111,4.0,37,12,12,1,1,1,0,0,0,0,2019
24,Nick Vigil,CIN,LB,16,60,51,111,1.0,0,5,5,1,34,34,0,1,2,0,2019
24,Rashaan Evans,TEN,LB,16,69,42,111,2.5,13,11,0,0,0,0,0,0,1,1,2019
