Name,Position,Team,Penalty Count,Yards,Declined,Offsetting,Total Flags,Pre-Snap,Count per Game,Yards per Game,Percent of Team,Penalty Types,Year
L.Tunsil,OL,Houston,15,80,3,0,18,12,0.83,4.44,14.75,"False Start (12), Offensive Holding (3), Ineligible Downfield Pass (3)",2019
G.Bolles,OL,Denver,10,95,6,1,17,2,0.63,5.94,15.32,"Offensive Holding (13), False Start (2), Unnecessary Roughness (1), Illegal Block Above the Waist (1)",2019
J.Taylor,OL,Jacksonville,15,120,0,0,15,5,0.94,7.5,11.36,"Offensive Holding (9), False Start (5), Ineligible Downfield Pass (1)",2019
A.Whitworth,OL,LA Rams,13,125,1,0,14,1,0.81,7.81,11.86,"Offensive Holding (10), Illegal Use of Hands (2), False Start (1), Illegal Block Above the Waist (1)",2019
D.Humphries,OL,Arizona,12,82,1,0,13,5,0.75,5.13,10.74,"False Start (5), Offensive Holding (5), Illegal Block Above the Waist (2), Ineligible Downfield Pass (1)",2019
G.Ifedi,T,Seattle,12,80,0,1,13,7,0.67,4.44,10.32,"False Start (7), Offensive Holding (5), Ineligible Downfield Pass (1)",2019
M.Humphrey,DB,Baltimore,9,89,2,2,13,1,0.53,5.24,11.21,"Defensive Holding (6), Unnecessary Roughness (2), Defensive Pass Interference (2), Offensive Holding (1), Illegal Contact (1), Defensive Offside (1)",2019
C.Leno,T,Chicago,12,99,1,0,13,3,0.75,6.19,12.62,"Offensive Holding (7), False Start (3), Illegal Use of Hands (2), Ineligible Downfield Pass (1)",2019
D.Bakhtiari,OL,Green Bay,12,94,0,0,12,5,0.67,5.22,10.91,"Offensive Holding (6), False Start (5), Illegal Use of Hands (1)",2019
B.Linder,OL,Jacksonville,10,89,2,0,12,1,0.63,5.56,9.09,"Offensive Holding (8), Ineligible Downfield Pass (2), False Start (1), Illegal Block Above the Waist (1)",2019
C.Davis,DB,Tampa Bay,9,111,3,0,12,0,0.56,6.94,8.96,"Defensive Pass Interference (5), Defensive Holding (4), Face Mask (15 Yards) (1), Illegal Use of Hands (1), Disqualification (1)",2019
G.Robinson,T,Cleveland,10,95,2,0,12,3,0.63,5.94,9.84,"Offensive Holding (6), False Start (3), Ineligible Downfield Pass (1), Disqualification (1), Illegal Blindside Block (1)",2019
B.Breeland,CB,Kansas City,9,102,3,0,12,0,0.47,5.37,9.68,"Defensive Holding (7), Defensive Pass Interference (4), Illegal Use of Hands (1)",2019
A.Lucas,T,Seattle,11,63,0,0,11,8,0.61,3.5,8.73,"Delay of Game (6), Illegal Formation (2), Unsportsmanlike Conduct (1), Defensive Too Many Men on Field (1), Illegal Double-Team Block (1)",2019
M.Moses,T,Washington,9,65,2,0,11,5,0.56,4.06,10.38,"Offensive Holding (6), False Start (5)",2019
T.Decker,OL,Detroit,9,74,1,1,11,3,0.56,4.63,9.73,"Offensive Holding (8), False Start (3)",2019
C.Robinson,OL,Jacksonville,10,67,0,1,11,4,0.63,4.19,8.33,"Offensive Holding (5), False Start (4), Illegal Use of Hands (1), Ineligible Downfield Pass (1)",2019
D.Dawkins,OL,Buffalo,7,54,1,3,11,3,0.41,3.18,8.87,"Offensive Holding (7), False Start (3), Illegal Block Above the Waist (1)",2019
E.Apple,CB,New Orleans,8,91,1,2,11,0,0.47,5.35,8.73,"Defensive Pass Interference (5), Defensive Holding (3), Unnecessary Roughness (1), Illegal Contact (1), Illegal Block Above the Waist (1)",2019
S.Barrett,LB,Tampa Bay,10,54,1,0,11,10,0.63,3.38,8.21,"Neutral Zone Infraction (5), Defensive Offside (5), Face Mask (15 Yards) (1)",2019
D.Dotson,T,Tampa Bay,10,71,0,0,10,5,0.63,4.44,7.46,"False Start (5), Offensive Holding (5)",2019
X.Rhodes,CB,Minnesota,8,139,1,1,10,0,0.44,7.72,9.8,"Defensive Pass Interference (4), Defensive Holding (3), Unnecessary Roughness (1), Illegal Contact (1), Horse Collar Tackle (1)",2019
T.Lewan,OL,Tennessee,10,74,0,0,10,4,0.53,3.89,8.55,"False Start (4), Offensive Holding (3), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Ineligible Downfield Pass (1)",2019
A.Villanueva,T,Pittsburgh,7,55,3,0,10,2,0.44,3.44,9.01,"Offensive Holding (7), False Start (2), Ineligible Downfield Pass (1)",2019
R.Douglas,CB,Philadelphia,7,68,3,0,10,0,0.41,4,9.26,"Defensive Pass Interference (4), Defensive Holding (4), Offensive Holding (1), Roughing the Passer (1)",2019
B.Hart,T,Cincinnati,7,50,3,0,10,5,0.44,3.13,10.75,"False Start (4), Illegal Use of Hands (2), Offensive Holding (1), Unsportsmanlike Conduct (1), Illegal Formation (1), Disqualification (1)",2019
T.Scott,T,LA Chargers,8,60,2,0,10,5,0.5,3.75,9.71,"False Start (4), Offensive Holding (4), Unnecessary Roughness (1), Illegal Formation (1)",2019
J.Phillips,DL,Buffalo,9,54,1,0,10,6,0.53,3.18,8.06,"Defensive Offside (5), Unnecessary Roughness (1), Roughing the Passer (1), Illegal Use of Hands (1), Unsportsmanlike Conduct (1), Encroachment (1)",2019
M.Glowinski,G,Indianapolis,10,68,0,0,10,4,0.63,4.25,12.66,"False Start (4), Offensive Holding (3), Ineligible Downfield Pass (2), Illegal Use of Hands (1)",2019
