Rushing Yards,Offensive Holding,False Start,Unnecessary Roughness,Illegal Block Above the Waist,Illegal Use of Hands,Rushing Attempts,Rushing Fumbles,20+ Yard Rushes
1348,11,9,1,2,3,270,3,12
2237,7,24,1,3,2,479,9,17
2066,18,15,4,0,1,492,19,10
1574,11,19,1,0,0,364,12,8
1933,16,17,1,1,0,397,6,17
2451,28,14,2,2,0,463,9,17
1358,20,17,2,3,1,360,4,6
1532,3,1,1,0,0,409,5,6
1347,10,13,0,0,0,365,10,2
2718,14,5,0,1,0,559,9,17
2159,6,10,2,0,2,522,13,11
2219,24,19,5,2,3,495,7,10
3295,14,6,2,1,0,595,12,23
3071,7,8,4,0,1,555,11,31
2378,14,3,1,0,0,476,6,15
2719,7,7,1,0,1,525,11,18
2661,11,13,2,1,2,540,8,21
3189,27,18,4,1,5,554,9,29
2054,20,15,4,3,3,465,13,13
1723,14,11,1,3,1,411,6,10
2212,15,8,5,1,2,459,8,18
2144,15,9,0,0,1,407,12,19
2212,19,12,5,0,3,512,9,9
2230,24,27,12,0,1,491,3,13
1817,5,2,4,1,0,384,7,7
1704,6,1,7,1,3,407,7,6
1190,9,7,0,0,0,290,12,8
1765,16,12,3,3,1,382,6,14
1769,9,17,2,0,0,445,5,9
1867,15,22,7,1,5,405,5,13
1433,8,5,1,0,2,384,5,5
1647,6,5,1,0,2,393,1,8
1565,14,12,5,1,0,398,1,10
3011,9,8,1,0,2,556,11,20
2294,19,13,1,1,1,504,6,13
1707,21,28,4,1,2,421,6,7
1517,6,12,0,0,2,385,3,8
1668,5,7,1,1,2,411,8,9
1742,12,9,0,0,3,436,2,8
1528,9,6,0,0,2,399,0,7
1527,4,5,0,0,1,383,1,7
1460,15,16,3,2,2,352,6,9
1901,15,17,2,0,4,393,5,11
2326,8,12,0,0,0,486,7,21
2310,16,7,5,2,0,443,3,18
2490,20,4,0,2,0,532,4,21
2017,14,12,0,0,2,518,9,9
1608,13,24,1,0,2,391,6,7
2153,12,4,4,0,1,449,7,11
1788,8,6,4,3,0,430,7,7
2086,26,13,6,2,5,468,10,10
2298,15,12,8,1,2,531,3,17
1920,14,12,5,0,3,468,4,12
1479,33,26,9,3,0,355,11,3
1662,29,8,3,3,3,409,2,8
1918,8,6,1,2,0,442,7,13
1912,13,9,1,3,2,422,6,10
1023,14,11,1,1,1,242,10,0
1810,6,17,3,0,0,451,5,9
1908,17,12,6,2,4,461,5,10
1615,19,10,3,4,3,395,5,7
1495,6,9,1,0,0,365,5,5
1886,18,17,0,1,2,427,7,12
2179,13,8,1,1,0,480,6,12
2311,10,9,3,1,1,500,7,15
2488,17,11,3,0,4,534,2,14
1771,15,11,2,0,4,404,3,7
2118,8,4,2,1,0,443,4,10
1876,6,3,1,0,0,433,5,7
2113,13,5,3,1,3,456,6,10
1905,14,8,5,0,2,440,8,13
2496,24,14,3,1,5,526,8,15
2009,13,27,1,0,1,434,11,13
1466,13,8,1,0,2,344,7,5
884,13,9,4,0,0,231,6,4
1468,13,14,1,1,0,393,10,7
1647,12,10,5,0,2,444,5,4
1762,19,21,9,0,5,393,4,13
2130,8,7,0,0,1,471,3,14
1996,7,5,2,2,1,459,1,12
2540,20,12,1,0,1,499,7,19
1465,15,11,3,0,2,345,9,8
2045,15,15,3,0,0,466,5,14
2331,11,15,1,0,2,496,11,18
1708,31,15,1,3,3,389,3,10
1519,3,7,2,1,0,337,3,6
620,17,14,1,0,0,147,3,2
1776,8,10,2,0,1,367,8,11
1646,10,14,1,0,1,453,7,9
1728,13,20,3,2,4,417,5,8
1565,16,4,1,3,2,374,5,10
1540,11,11,1,1,6,337,5,10
1955,25,13,1,0,3,431,9,9
1911,12,3,1,0,5,412,9,9
1781,22,15,2,1,2,416,2,10
1790,26,15,4,2,5,450,4,7
1453,14,11,1,0,0,366,7,9
1494,2,3,1,1,1,378,7,10
1815,13,8,0,0,2,420,3,7
1524,12,7,0,2,1,404,7,6
1642,14,4,5,0,2,431,6,9
2108,19,15,4,2,2,537,4,11
1499,19,15,2,3,3,401,6,8
2018,4,8,0,2,0,473,4,9
944,10,3,3,2,2,261,4,2
1624,8,9,3,0,1,396,5,8
2012,9,5,1,1,1,454,4,11
1765,18,17,1,3,1,450,7,3
1817,10,8,5,1,1,432,9,10
1916,6,2,5,1,0,457,9,9
1331,28,17,4,0,3,342,9,6
2059,12,16,2,4,1,428,5,9
1542,6,6,2,0,0,413,5,7
1345,21,14,5,1,2,375,10,4
966,9,3,0,1,3,297,5,3
1569,4,5,0,0,0,372,5,7
1320,13,13,3,0,1,370,8,4
1174,13,11,3,2,0,264,4,6
2292,16,8,1,0,1,454,17,17
1785,36,18,4,0,1,446,10,8
2133,23,10,2,2,1,476,10,15
2283,10,11,1,4,2,468,5,10
1898,22,9,4,0,3,441,6,13
1661,6,7,2,0,1,404,5,5
1252,14,7,1,0,1,325,5,4
1559,19,25,3,3,4,390,6,4
1694,5,6,1,2,6,445,3,6
2346,5,0,0,1,0,502,8,13
2113,11,5,2,0,1,479,7,11
1812,16,11,2,0,2,425,9,11
1627,10,6,1,0,0,415,3,3
1969,30,19,1,1,2,446,14,9
1737,26,11,4,6,4,404,3,11
2265,2,2,6,0,2,494,9,14
1547,8,11,4,0,3,404,2,7
1904,4,12,2,0,2,448,10,7
1672,12,12,2,0,2,459,6,4
1950,23,11,10,1,1,443,2,7
1685,12,2,1,0,1,362,9,13
1768,8,12,1,1,0,399,5,9
1386,11,13,2,0,2,353,3,7
2496,3,9,0,0,1,518,5,15
1872,14,10,0,0,2,453,9,12
1784,17,24,1,1,0,423,6,12
1257,21,4,2,1,3,383,5,2
1342,4,8,0,0,0,330,2,3
1555,5,4,1,1,3,364,2,9
1601,8,10,2,2,0,376,4,11
1609,12,15,7,1,0,380,11,9
1561,22,18,10,0,5,363,7,6
1939,12,10,4,4,3,454,9,7
2000,8,16,3,0,0,396,15,12
2715,9,10,1,0,1,550,7,17
2509,14,11,0,0,0,544,10,17
2190,7,17,2,1,0,510,11,11
3048,19,17,8,1,1,621,6,25
1447,8,11,2,0,0,395,7,9
1351,5,4,1,0,0,373,7,10
1560,18,22,4,6,0,405,2,9
2018,11,11,3,0,0,492,6,8
2010,3,1,1,0,1,487,9,14
2166,17,17,5,1,4,533,8,11
2200,19,12,0,1,1,481,11,14
1971,7,7,0,0,1,411,6,11
1415,6,6,2,0,0,240,2,14
2026,10,15,2,0,1,417,5,18
1580,15,13,2,0,7,382,2,13
1626,27,25,6,0,0,382,6,12
2305,15,12,1,5,0,498,8,16
1889,16,7,0,1,1,437,6,8
2135,12,10,1,0,1,494,5,12
1146,19,12,1,0,1,253,6,7
2389,9,7,3,1,1,499,5,11
2163,25,18,8,2,2,457,7,13
1521,18,12,2,3,3,409,6,10
1519,9,7,4,2,3,369,3,9
757,8,5,1,1,1,180,3,3
1306,15,10,1,0,1,385,5,3
1509,19,18,0,0,1,439,5,5
2536,21,25,7,2,1,483,14,15
2223,13,12,2,1,2,445,8,14
2690,6,5,2,0,1,521,5,20
2142,3,7,3,1,2,475,9,11
2106,16,15,0,1,1,482,9,13
1846,5,20,2,0,1,443,6,10
1855,27,26,2,3,5,450,12,8
1583,27,14,2,0,3,356,7,11
1611,7,5,0,0,3,400,3,7
1822,5,10,1,0,1,423,11,8
2143,9,4,1,0,4,538,9,8
1592,9,13,2,1,1,359,7,8
2619,22,19,5,3,2,526,7,19
