Passing Yards,Interceptions,Sack Yards Lost,Adjusted QBR,Completions,Intentional Grounding,Offensive Holding,Offensive Pass Interference
3797,12,320,138.3,355,0,11,0
4102,13,186,91.5,387,4,7,3
4583,11,326,223.6,409,0,18,1
3966,17,340,133.3,433,0,11,1
1861,7,160,49.2,188,0,16,0
3859,11,220,67.1,374,0,28,3
5049,15,335,171.5,459,0,20,0
4620,11,257,159.8,408,0,3,0
3987,15,274,57.1,377,3,10,0
2927,9,228,109.7,257,0,14,0
3775,17,251,194.6,327,0,6,0
4283,19,215,105.0,364,0,24,3
3350,8,125,237.9,289,0,14,0
2919,11,180,117.8,257,0,7,0
3963,17,297,111.8,368,0,14,0
3202,13,162,113.1,300,0,7,1
3881,7,246,122.9,328,5,11,2
4189,4,154,94.4,318,0,27,0
3476,12,247,159.7,299,0,20,0
4786,11,166,292.2,410,0,14,1
4450,16,166,147.3,415,0,15,2
4291,14,162,78.10000000000001,361,0,15,0
4306,18,152,70.3,385,0,19,0
3938,6,63,152.4,329,0,24,4
4134,21,484,63.8,382,0,5,0
4129,16,241,167.3,373,0,6,0
3573,21,334,93.1,348,0,9,0
1933,7,124,77.4,148,0,16,1
3245,10,504,83.30000000000001,350,0,9,1
3411,15,223,209.1,341,0,15,0
3573,12,282,101.1,371,0,8,0
3925,16,270,97.3,402,0,6,0
1765,10,164,116.4,173,0,14,1
2598,15,379,127.3,223,0,9,0
3421,15,325,101.6,321,0,19,0
3552,7,466,100.8,353,0,21,4
3994,16,342,167.0,356,0,6,0
3793,11,345,183.8,372,0,5,0
4806,14,403,169.60000000000002,384,0,12,0
4520,12,280,121.6,418,0,9,0
4257,14,362,116.8,420,2,4,0
4918,9,278,74.7,460,3,15,1
3847,21,293,158.20000000000002,318,0,15,2
3701,8,162,299.1,315,6,8,0
609,1,30,222.3,67,0,16,0
3710,12,266,102.4,335,0,20,2
4011,23,318,151.20000000000002,355,0,14,0
3879,23,373,118.0,395,5,13,1
4902,11,151,77.30000000000001,388,0,12,3
4510,13,349,285.5,413,0,8,1
4963,11,163,220.4,444,0,26,0
3911,18,175,120.69999999999999,355,0,15,0
4660,10,263,126.30000000000001,428,0,14,1
4092,14,230,124.6,398,0,33,3
3401,10,286,341.1,312,0,29,1
3673,23,222,127.7,317,0,8,0
804,2,52,229.5,69,0,13,5
4007,15,415,64.5,345,0,14,1
3566,9,304,83.3,337,0,6,4
3808,12,198,156.8,379,0,17,4
4187,15,287,255.2,344,0,19,0
4397,13,293,89.3,374,0,6,1
3884,14,286,177.6,396,0,18,0
4444,7,163,64.0,383,0,13,0
4606,12,205,61.1,408,0,10,0
4718,12,244,312.5,399,0,17,4
4017,4,284,149.2,356,0,15,0
4299,5,193,79.8,372,0,8,0
4526,7,211,110.89999999999999,402,0,6,0
3890,12,258,124.5,364,0,13,1
4210,11,242,257.3,374,0,14,0
3939,11,132,148.89999999999998,308,0,24,2
4083,14,300,97.6,355,0,13,0
4843,7,305,66.5,383,0,13,2
3630,15,325,94.7,354,0,13,1
3642,19,298,65.5,352,0,13,0
4578,8,405,230.6,372,0,12,0
3952,12,426,132.3,357,0,19,0
3314,10,206,70.3,307,0,8,1
4186,11,133,115.1,371,0,7,1
3588,8,227,60.7,324,0,20,4
3854,20,422,86.69999999999999,398,0,15,0
3882,10,216,106.19999999999999,355,0,15,2
3599,19,238,173.8,289,1,11,2
4023,8,263,80.1,364,0,31,0
3955,16,256,106.6,387,0,3,0
3641,17,238,39.1,359,0,17,1
4148,9,189,89.7,394,0,8,0
4377,14,251,116.1,412,0,10,0
3717,15,240,99.3,343,1,13,4
4690,5,192,135.2,378,0,16,3
5005,7,151,170.2,420,0,11,2
4937,13,146,141.8,448,2,25,3
5250,12,188,82.8,435,0,12,0
4383,17,195,202.4,421,0,22,3
4046,11,266,90.5,404,0,26,0
4648,20,222,53.8,394,0,14,1
4548,10,219,81.9,413,0,2,3
5014,15,214,128.2,443,0,13,2
4791,10,207,120.1,485,0,12,0
4312,8,355,215.5,409,0,14,0
3901,3,272,70.7,336,0,19,0
4669,17,170,54.5,397,0,19,0
4183,14,169,119.3,392,0,4,2
4893,18,251,82.2,406,0,10,1
2656,13,307,108.5,265,0,8,0
4300,13,237,174.8,361,0,9,3
4096,9,228,114.7,367,0,18,1
4110,8,184,89.3,367,0,10,0
4383,10,166,286.0,369,0,6,0
4808,14,241,104.6,429,0,28,1
4182,17,248,140.9,359,0,12,1
3666,18,286,185.6,348,0,6,2
4117,16,320,115.5,410,2,21,3
4117,18,313,106.3,371,0,9,0
3937,13,201,148.6,370,0,4,0
3936,14,285,115.4,404,0,13,0
4765,15,254,149.0,368,0,13,0
4698,15,184,61.8,393,0,16,0
3883,10,290,99.4,398,0,36,1
3729,8,206,87.0,319,0,23,1
4265,13,256,55.8,349,0,10,2
4450,7,212,164.3,398,0,22,0
4818,15,334,205.8,448,0,6,2
3805,14,243,134.5,329,0,14,0
4379,12,336,185.7,364,3,19,1
4153,9,192,255.70000000000002,378,4,5,7
3124,14,234,272.0,283,0,5,1
4098,13,241,332.9,364,0,11,0
3815,14,279,103.19999999999999,358,3,16,1
3392,21,318,61.4,351,0,10,2
3343,11,348,180.0,342,0,30,2
4431,6,187,267.8,418,0,26,4
3945,8,187,131.4,370,0,2,0
2267,10,182,92.6,198,0,8,0
3969,14,277,167.5,338,0,4,0
4225,11,235,144.5,406,3,12,0
3730,12,242,309.79999999999995,340,0,23,1
4070,17,339,93.30000000000001,376,0,12,0
3336,11,310,88.5,321,0,8,0
1019,13,107,35.8,118,0,11,0
3431,6,272,151.4,346,0,3,0
3351,12,465,110.0,338,0,14,0
3398,12,291,123.6,354,0,17,3
3443,16,332,62.1,323,0,21,0
3115,14,319,183.2,292,0,4,2
3625,19,404,231.3,328,0,5,1
4040,14,317,287.8,357,0,8,1
3373,15,454,63.2,356,0,12,0
4016,11,302,143.6,385,1,22,0
4063,8,230,117.1,391,0,12,0
3728,20,401,78.0,334,0,8,0
3585,10,181,120.8,307,0,9,0
